"%s's Wishlist","%s's Wishlist"
"* Required Fields","* Pola wymagane"
"Add All to Cart","Dodaj wszystkie produkty do koszyka"
"Add to Cart","Dodaj do koszyka"
"Add to Wishlist","Dodaj do listy życzeń"
"Added On","Dodano: "
"Are you sure you want to remove this product from your wishlist?","Czy na pewno chcesz usunąć produkt z listy życzeń?"
"Are You sure?","Czy na pewno?"
"Cannot create wishlist","Nie można utworzyć listy życzeń"
"Cannot specify product","Nie można ustalić produktu"
Comment,Komentarz
"E-mail Addresses required","Adres email jest wymagany"
"Email addresses, separated by commas","Adresy email rozdzielane przecinkami"
"Go to Wishlist","Zobacz listę życzeń"
"Last Added Items","Ostatnio dodane produkty"
Message,Wiadomość
"My Wishlist","Moja lista życzeń"
"My Wishlist (%d item)","Lista życzeń (%d produkt)"
"My Wishlist (%d items)","Lista życzeń (%d produktów)"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Lista życzeń <span class=""count"">- <a href=""%s"">%d produkt(ów)</a></span>"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Wpisz prawidłowe adresy email w formacie jan.kowalski@poczta.pl, oddzielając je przecinkami."
"Please, enter your comments...","Wpisz swój komentarz..."
Product,Produkt
"Remove Item","Usuń produkt"
"Share Wishlist","Podziel się swoją listą życzeń"
"Share Your Wishlist","Podziel się swoją listą życzeń"
"Update Wishlist","Aktualizuj listę życzeń"
"View Product","Zobacz produkt"
"Wishlist Sharing","Podziel się swoją listą życzeń"
"You have no items in your wishlist.","Nie masz żadnych produktów na liście życzeń."
"You have placed no product yet.","Nie dodałeś jeszcze żadnych produktów."
"Your Wishlist was successfully shared","Wysłanie listy życzeń do znajomego zakończyło się sukcesem"
