"Cannot delete subscriber","Nie można usunąć subskrybenta"
"Cannot delete template","Nie można usunąć szablonu"
"Cannot mark as received subscriber","Nie można oznaczyć subskrybenta "
"Cannot save your subscription: %s","Nie można zapisać subskrybcji: %s"
"Confirmation request has been sent","Potwierdzenie zostało wysłane"
"Duplicate of template code","Duplikuj kod szablonu"
"Form was filled incorrectly","Formularz zawiera błędy"
"Invalid queue selected","Wybrano nieprawidłową kolejkę"
"Invalid subscriber ID","Nieprawidłowe ID subskrybenta"
"Invalid subscription confirmation code","Nieprawidłowy kod potwierdzający subskrybcję"
"Invalid subscription ID","Nieprawidłowe ID subskrybcji"
Newsletter,Newsletter
"No subscribers selected","Nie wybrano żadnych subskrybentów"
"Thank you for your subscription","Dziękujemy za zapisanie się na newsletter"
"The subscription was successfully saved","Subskrybcja została zapisana"
"There was a problem with the subscription: %s","Wystąpił błąd z subskrybcją: %s"
"There was a problem with the un-subscription: %s","Wystąpił błąd podczas wypisywania z newsletera: %s"
"There was an error while saving your subscription","Błąd podczas zapisywania subskrybcji"
"You have been successfully unsubscribed","Zostałeś wypisany z newslettera"
"Your subscription was successfully confirmed","Subskrybcja została potwierdzona"
